,norm_1,temperature_1,U_1
norm_1,288.08605155669875,-0.07669016390513476,-9.103271618057948e-09
temperature_1,-0.07669016390513476,2.1378284133400033e-05,-3.8639989633533613e-11
U_1,-9.103271618057948e-09,-3.8639989633533613e-11,6.169708313157659e-11
